               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12448,            0.017621,                   0,             0.13929,             0.26761,             0.14417,            0.062901,            0.070687,            0.010592,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.10807,            0.021801,                   0,             0.30318,             0.16901,             0.19528,            0.072006,            0.053702,            0.012133,                   0,            0.084697,           0.0016966,           0.0016966
                   2,            0.085027,            0.026007,                   0,             0.26327,             0.33722,              0.2431,             0.10109,            0.038767,            0.012713,                   0,             0.07659,           0.0025897,           0.0025897
                   3,            0.074006,            0.027866,                   0,             0.44285,             0.48141,             0.48739,             0.22656,            0.033167,            0.012315,                   0,            0.068479,           0.0034792,           0.0034792
                   4,            0.061936,            0.028077,                   0,             0.60643,             0.65493,              0.6253,             0.30916,            0.030183,             0.01225,                   0,            0.060365,           0.0043652,           0.0043652
                   5,            0.057783,            0.025475,                   0,             0.55851,             0.75352,             0.63172,             0.32523,            0.030703,            0.017074,                   0,            0.052248,           0.0052475,           0.0052475
                   6,            0.058005,            0.023552,                   0,             0.52042,             0.65721,             0.56087,             0.23283,            0.035688,             0.01612,                   0,            0.044126,           0.0061263,           0.0061263
                   7,            0.058293,            0.023446,                   0,             0.44895,              0.6338,             0.56213,             0.26199,            0.035745,            0.011907,                   0,            0.036002,           0.0070016,           0.0070016
                   8,            0.057936,            0.021787,                   0,             0.50719,                0.79,             0.59562,             0.35644,            0.041434,           0.0091591,                   0,            0.027873,           0.0078733,           0.0078733
                   9,            0.053595,            0.022719,                   0,             0.76333,              0.8177,             0.87633,             0.52712,             0.04119,           0.0079482,                   0,            0.019741,           0.0087414,           0.0087414
                  10,            0.050144,            0.020252,                   0,             0.64128,             0.71831,             0.74827,             0.44136,            0.035009,           0.0073982,                   0,            0.011606,            0.009606,            0.009606
                  11,            0.053855,            0.020798,                   0,             0.71463,             0.79362,             0.85345,             0.52703,            0.038686,           0.0072347,                   0,           0.0097822,           0.0097822,           0.0097822
                  12,            0.048224,            0.019206,                   0,             0.82595,             0.83548,             0.93366,             0.55609,            0.030975,           0.0072659,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.046145,            0.018923,                   0,             0.67512,             0.77562,             0.81281,             0.54909,            0.039017,           0.0077313,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.046098,            0.018337,                   0,              0.5594,             0.96479,              0.7512,             0.53255,            0.028088,           0.0066485,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.044091,            0.018681,                   0,             0.82044,             0.90141,             0.93255,             0.66401,            0.019522,           0.0061111,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.043769,            0.016763,                   0,             0.61427,              0.8169,             0.71404,             0.51519,            0.029194,           0.0058863,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.044412,            0.017127,                   0,             0.85352,             0.89437,             0.96288,             0.65599,            0.022268,           0.0062209,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.040725,            0.016846,                   0,             0.76476,             0.87324,             0.90005,             0.56349,            0.025919,           0.0069068,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.042339,            0.015592,                   0,             0.77107,             0.89437,             0.93466,             0.68615,            0.022842,           0.0058249,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.039738,            0.016546,                   0,             0.96168,             0.98592,             0.99296,             0.69293,            0.019443,           0.0050502,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.036771,            0.015625,                   0,             0.77257,             0.85915,             0.93128,             0.66023,            0.020612,           0.0053435,                   0,            0.009604,            0.009604,            0.009604
